Time (msec),A/F Correction #1 (%),A/F Correction #3 (32-bit ECU) (%),A/F Sensor #1 (AFR),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Exhaust VVT Advance Angle Left (degrees),Exhaust VVT Advance Angle Right (degrees),IAM (multiplier),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake VVT Advance Angle Left (degrees),Intake VVT Advance Angle Right (degrees),Learned Ignition Timing (degrees),Manifold Relative Pressure (Corrected) (bar),Mass Airflow (g/s),Throttle Opening Angle (%),Vehicle Speed (kph)
12985,0.00,0.00,14.70,0.34,1019,0.00,3.00,0.6875,15.50,1.96,0.00,0.00,0.00,-0.660,5.88,6.27,10
13063,0.00,0.00,14.70,0.35,1014,0.00,3.00,0.6875,15.50,2.16,0.00,0.00,0.00,-0.660,5.88,6.27,10
13110,0.00,0.00,14.70,0.36,996,0.00,3.00,0.6875,15.50,2.12,0.00,0.00,0.00,-0.660,5.95,6.27,10
13188,0.00,0.00,14.70,0.37,990,0.00,3.00,0.6875,15.50,2.11,0.00,0.00,0.00,-0.660,5.95,6.27,10
13251,0.00,0.00,14.70,0.36,971,0.00,3.00,0.6875,15.50,2.07,0.00,0.00,0.00,-0.660,5.85,6.27,10
13313,0.00,0.00,14.70,0.37,968,0.00,3.00,0.6875,15.50,2.07,0.00,0.00,0.00,-0.650,5.91,6.67,9
13391,0.00,0.00,14.70,0.40,929,0.00,3.00,0.6875,15.50,1.98,0.00,0.00,0.00,-0.650,6.12,7.06,9
13454,0.00,0.00,14.70,0.42,914,0.00,3.00,0.6875,16.00,1.95,0.00,0.00,0.00,-0.640,6.45,7.06,9
13516,0.00,0.00,14.70,0.44,897,0.00,3.00,0.6875,16.00,2.30,0.00,0.00,0.00,-0.630,6.58,7.06,9
13595,0.00,0.00,14.70,0.45,894,0.00,3.00,0.6875,16.00,2.29,0.00,0.00,0.00,-0.620,6.71,7.06,8
13657,0.00,0.00,14.70,0.46,898,0.00,3.00,0.6875,16.00,2.30,0.00,0.00,0.00,-0.610,6.83,7.06,8
13720,0.00,0.00,14.70,0.45,904,0.00,3.00,0.6875,16.00,2.51,0.00,0.00,0.00,-0.600,6.75,7.06,8
13782,0.00,0.00,14.70,0.45,908,0.00,3.00,0.6875,16.00,2.32,0.00,0.00,0.00,-0.590,6.75,7.06,8
13860,0.00,0.00,14.70,0.44,914,0.00,3.00,0.6875,16.00,2.34,0.00,0.00,0.00,-0.590,6.75,7.06,7
13923,0.00,0.00,14.70,0.43,912,0.00,3.00,0.6875,16.00,2.34,0.00,0.00,0.00,-0.590,6.67,7.06,7
13985,0.00,0.00,14.70,0.44,924,0.00,3.00,0.6875,16.00,2.37,0.00,0.00,0.00,-0.580,6.79,7.06,7
14063,0.00,0.00,14.70,0.44,928,0.00,3.00,0.6875,16.00,2.38,0.00,0.00,0.00,-0.580,6.88,7.06,7
14126,0.00,0.00,14.70,0.44,934,0.00,3.00,0.6875,16.00,2.39,0.00,0.00,0.00,-0.580,6.92,7.06,7
14188,0.00,0.00,14.70,0.44,926,0.00,2.00,0.6875,16.00,2.37,0.00,0.00,0.00,-0.580,6.92,7.06,6
14251,0.00,0.00,14.70,0.44,922,0.00,3.00,0.6875,16.00,2.36,0.00,0.00,0.00,-0.580,6.83,7.06,6
14329,0.00,0.00,14.70,0.44,913,0.00,2.00,0.6875,16.50,2.34,0.00,0.00,0.00,-0.580,6.83,7.06,6
14392,0.00,0.00,14.70,0.45,914,0.00,3.00,0.6875,16.50,2.34,0.00,0.00,0.00,-0.580,6.88,7.45,6
14454,0.00,0.00,14.70,0.44,916,0.00,3.00,0.6875,16.50,2.35,0.00,0.00,0.00,-0.570,6.79,7.45,6
14516,0.00,0.00,14.70,0.45,921,0.00,2.00,0.6875,16.50,2.36,0.00,0.00,0.00,-0.570,6.96,7.45,5
14595,0.00,0.00,14.70,0.45,915,0.00,3.00,0.6875,16.50,2.34,0.00,0.00,0.00,-0.570,6.92,7.45,5
14657,0.00,0.00,14.70,0.45,912,0.00,2.00,0.6875,16.50,2.34,0.00,0.00,0.00,-0.570,6.83,7.45,5
14735,0.00,0.00,14.70,0.45,921,0.00,2.00,0.6875,16.50,2.36,0.00,0.00,0.00,-0.570,6.92,7.45,5
14798,0.00,0.00,14.70,0.45,923,0.00,2.00,0.6875,16.50,2.36,0.00,0.00,0.00,-0.570,6.88,7.45,5
14860,0.00,0.00,14.70,0.45,920,0.00,2.00,0.6875,16.50,2.36,0.00,0.00,0.00,-0.570,6.88,7.45,4
14923,0.00,0.00,14.70,0.45,921,0.00,2.00,0.6875,16.50,2.36,0.00,0.00,0.00,-0.570,6.92,7.45,4
15001,0.00,0.00,14.70,0.45,926,0.00,2.00,0.6875,16.50,2.37,0.00,0.00,0.00,-0.560,6.92,7.45,4
15063,0.00,0.00,14.70,0.46,930,0.00,2.00,0.6875,17.00,2.38,0.00,0.00,0.00,-0.560,7.00,7.45,4
15126,0.00,0.00,14.70,0.46,923,0.00,2.00,0.6875,17.00,2.36,0.00,0.00,0.00,-0.560,7.00,7.45,3
15188,0.00,0.00,14.70,0.47,916,0.00,2.00,0.6875,17.00,2.35,0.00,0.00,0.00,-0.560,7.13,7.84,3
15266,0.00,0.00,14.70,0.47,917,0.00,2.00,0.6875,17.00,2.35,0.00,0.00,0.00,-0.560,7.13,7.84,3
15329,0.00,0.00,14.70,0.47,916,0.00,2.00,0.6875,17.00,2.34,0.00,0.00,0.00,-0.550,7.13,7.84,3
15391,0.00,0.00,14.70,0.48,918,0.00,2.00,0.6875,17.00,2.35,0.00,0.00,0.00,-0.550,7.21,7.84,3
15454,0.00,0.00,14.70,0.49,919,0.00,2.00,0.6875,17.50,2.35,0.00,0.00,0.00,-0.550,7.30,7.84,2
15532,0.00,0.00,14.70,0.49,923,0.00,2.00,0.6875,17.50,2.56,0.00,0.00,0.50,-0.550,7.43,7.84,2
15595,0.00,0.00,14.70,0.49,924,0.00,2.00,0.6875,17.50,2.56,0.00,0.00,0.50,-0.540,7.43,7.84,2
15657,0.00,0.00,14.70,0.50,926,0.00,2.00,0.6875,21.50,2.57,0.00,0.00,0.50,-0.540,7.56,8.24,2
15735,0.00,0.00,14.70,0.51,932,0.00,2.00,0.6875,22.00,2.58,0.00,0.00,0.50,-0.540,7.98,8.24,2
15798,0.00,0.00,14.70,0.52,950,0.00,2.00,0.6875,24.00,2.63,0.00,0.00,0.50,-0.530,8.26,8.63,2
15860,0.00,0.00,14.70,0.53,964,0.00,2.00,0.6875,26.50,2.67,0.00,0.00,0.50,-0.530,8.44,8.63,1
15938,0.00,0.00,14.70,0.51,981,0.00,3.00,0.6875,27.50,2.72,0.00,0.00,0.50,-0.520,8.49,8.63,1
16001,0.00,0.00,14.70,0.51,994,0.00,3.00,0.6875,25.50,2.76,0.00,0.00,1.00,-0.520,8.63,8.63,1
16063,0.00,0.00,14.70,0.52,1006,0.00,3.00,0.6875,23.50,2.79,0.00,0.00,1.00,-0.520,8.76,9.02,1
16141,0.00,0.00,14.70,0.51,1030,0.00,3.00,0.6875,23.00,2.86,0.00,0.00,1.00,-0.520,8.81,9.02,1
16204,0.00,0.00,14.70,0.53,1013,0.00,2.00,0.6875,11.50,2.81,0.00,0.00,1.00,-0.520,8.76,8.24,1
16267,0.00,0.00,14.70,0.49,995,0.00,2.00,0.6875,11.00,2.76,0.00,0.00,1.00,-0.520,8.21,7.84,1
16342,0.00,0.00,14.70,0.49,982,0.00,2.00,0.6875,10.50,2.72,0.00,0.00,1.00,-0.520,7.93,7.84,0
16405,0.00,0.00,14.70,0.49,970,0.00,2.00,0.6875,11.00,2.69,0.00,0.00,0.50,-0.530,7.75,7.84,0
16467,0.00,0.00,14.70,0.49,953,0.00,2.00,0.6875,11.50,2.64,0.00,0.00,0.50,-0.530,7.70,7.84,0
16530,0.00,0.00,14.70,0.48,944,0.00,2.00,0.6875,21.50,2.62,0.00,0.00,0.50,-0.530,7.61,7.84,0
16592,0.00,0.00,14.70,0.45,960,0.00,2.00,0.6875,19.00,2.66,0.00,0.00,0.50,-0.530,7.38,7.84,0
16670,0.00,0.00,14.70,0.47,969,0.00,3.00,0.6875,16.50,2.69,0.00,0.00,0.50,-0.530,7.61,7.84,0
16733,0.00,0.00,14.70,0.47,968,0.00,2.00,0.6875,17.50,2.68,0.00,0.00,0.50,-0.540,7.70,7.84,0
16795,0.00,0.00,14.70,0.48,970,0.00,3.00,0.6875,16.50,2.69,0.00,0.00,0.50,-0.540,7.70,7.84,0
16873,0.00,0.00,14.70,0.49,953,0.00,2.00,0.6875,20.00,2.64,0.00,0.00,0.50,-0.540,7.79,7.84,0
16936,0.00,0.00,14.70,0.49,952,0.00,2.00,0.6875,20.00,2.64,0.00,0.00,0.50,-0.540,7.79,7.84,0
17006,0.00,0.00,14.70,0.47,956,0.00,2.00,0.6875,21.00,2.65,0.00,0.00,0.50,-0.540,7.56,7.84,0
17077,0.00,0.00,14.70,0.48,959,0.00,2.00,0.6875,19.50,2.66,0.00,0.00,0.50,-0.540,7.61,7.84,0
17139,0.00,0.00,14.70,0.47,954,0.00,2.00,0.6875,19.50,2.65,0.00,0.00,0.50,-0.540,7.51,7.84,0
17202,0.00,0.00,14.70,0.47,959,0.00,2.00,0.6875,19.50,2.66,0.00,0.00,0.50,-0.540,7.51,7.84,0
17280,0.00,0.00,14.70,0.47,964,0.00,2.00,0.6875,19.00,2.67,0.00,0.00,0.50,-0.540,7.51,7.84,0
17343,0.00,0.00,14.70,0.47,958,0.00,2.00,0.6875,19.00,2.45,0.00,0.00,0.50,-0.540,7.43,7.84,0
17405,0.00,0.00,14.70,0.47,963,0.00,3.00,0.6875,17.50,2.47,0.00,0.00,0.50,-0.550,7.43,7.84,0
17468,0.00,0.00,14.70,0.47,945,0.00,2.00,0.6875,18.50,2.42,0.00,0.00,0.50,-0.550,7.47,7.84,0
17530,0.00,0.00,14.70,0.47,944,0.00,2.00,0.6875,18.50,2.42,0.00,0.00,0.50,-0.550,7.43,7.84,0
17608,0.00,0.00,14.70,0.47,943,0.00,2.00,0.6875,19.00,2.41,0.00,0.00,0.50,-0.550,7.51,7.84,0
17671,0.00,0.00,14.70,0.47,940,0.00,2.00,0.6875,18.50,2.41,0.00,0.00,0.50,-0.550,7.43,7.84,0
17733,0.00,0.00,14.70,0.47,942,0.00,2.00,0.6875,19.00,2.41,0.00,0.00,0.50,-0.550,7.47,7.84,0
17811,0.00,0.00,14.70,0.47,950,0.00,2.00,0.6875,17.00,2.43,0.00,0.00,0.50,-0.550,7.51,7.84,0
17874,0.00,0.00,14.70,0.47,938,0.00,2.00,0.6875,18.00,2.40,0.00,0.00,0.50,-0.550,7.43,7.84,0
17936,0.00,0.00,14.70,0.47,936,0.00,2.00,0.6875,20.00,2.40,0.00,0.00,0.50,-0.550,7.34,7.84,0
17999,0.00,0.00,14.70,0.47,935,0.00,2.00,0.6875,20.00,2.39,0.00,0.00,0.50,-0.550,7.47,7.84,0
18077,0.00,0.00,14.70,0.48,943,0.00,2.00,0.6875,19.50,2.61,0.00,0.00,0.50,-0.550,7.47,7.84,0
18139,0.00,0.00,14.70,0.47,943,0.00,2.00,0.6875,20.00,2.62,0.00,0.00,0.50,-0.550,7.43,7.84,0
18202,0.00,0.00,14.70,0.47,940,0.00,2.00,0.6875,19.00,2.61,0.00,0.00,0.50,-0.550,7.43,7.84,0
18280,0.00,0.00,14.70,0.48,939,0.00,3.00,0.6875,20.50,2.60,0.00,0.00,0.50,-0.550,7.43,7.84,0
18343,0.00,0.00,14.70,0.48,942,0.00,2.00,0.6875,19.00,2.61,0.00,0.00,0.50,-0.550,7.43,7.84,0
18405,0.00,0.00,14.70,0.46,947,0.00,2.00,0.6875,19.00,2.42,0.00,0.00,0.50,-0.550,7.13,7.84,0
18483,0.00,0.00,14.70,0.47,951,0.00,2.00,0.6875,18.50,2.43,0.00,0.00,0.50,-0.550,7.21,7.84,0
18546,0.00,0.00,14.70,0.47,932,0.00,2.00,0.6875,20.00,2.39,0.00,0.00,0.00,-0.550,7.21,7.84,0
18608,0.00,0.00,14.70,0.48,932,0.00,2.00,0.6875,20.00,2.39,0.00,0.00,0.00,-0.550,7.38,7.84,0
18671,0.00,0.00,14.70,0.47,944,0.00,2.00,0.6875,17.50,2.42,0.00,0.00,0.50,-0.550,7.34,7.84,0
18749,0.00,0.00,14.70,0.48,941,0.00,2.00,0.6875,18.00,2.41,0.00,0.00,0.50,-0.550,7.43,7.84,0
18811,0.00,0.00,14.70,0.48,937,0.00,2.00,0.6875,17.50,2.40,0.00,0.00,0.50,-0.550,7.43,7.84,0
18874,0.00,0.00,14.70,0.48,926,0.00,2.00,0.6875,17.50,2.37,0.00,0.00,0.50,-0.550,7.43,7.84,0
18952,0.00,0.00,14.70,0.47,927,0.00,2.00,0.6875,18.50,2.37,0.00,0.00,0.50,-0.550,7.34,7.84,0
19014,0.00,0.00,14.70,0.47,929,0.00,2.00,0.6875,18.50,2.38,0.00,0.00,0.50,-0.550,7.34,7.84,0
19077,0.00,0.00,14.70,0.47,936,0.00,2.00,0.6875,16.50,2.40,0.00,0.00,0.50,-0.550,7.34,7.84,0
19139,0.00,0.00,14.70,0.46,930,0.00,2.00,0.6875,18.00,2.38,0.00,0.00,0.50,-0.550,7.26,7.84,0
19218,0.00,0.00,14.70,0.47,937,0.00,3.00,0.6875,16.50,2.40,0.00,0.00,0.50,-0.550,7.26,7.84,0
19280,0.00,0.00,14.70,0.46,930,0.00,2.00,0.6875,18.00,2.38,0.00,0.00,0.50,-0.550,7.38,7.84,0
19343,0.00,0.00,14.70,0.46,930,0.00,2.00,0.6875,17.50,2.38,0.00,0.00,0.50,-0.550,7.26,7.84,0
19415,0.00,0.00,14.70,0.47,931,0.00,2.00,0.6875,19.00,2.38,0.00,0.00,0.50,-0.550,7.47,7.84,0
19477,0.00,0.00,14.70,0.46,938,0.00,2.00,0.6875,18.00,2.40,0.00,0.00,0.50,-0.550,7.17,7.84,0
19555,0.00,0.00,14.70,0.47,942,0.00,2.00,0.6875,19.00,2.41,0.00,0.00,0.50,-0.550,7.38,7.84,0
19618,0.00,0.00,14.70,0.46,938,0.00,2.00,0.6875,18.50,2.40,0.00,0.00,0.50,-0.550,7.26,7.84,0
19680,0.00,0.00,14.70,0.47,934,0.00,2.00,0.6875,19.00,2.39,0.00,0.00,0.00,-0.550,7.30,7.45,0
19743,0.00,0.00,14.70,0.47,934,0.00,2.00,0.6875,19.50,2.39,0.00,0.00,0.50,-0.550,7.34,7.84,0
19821,0.00,0.00,14.70,0.47,938,0.00,2.00,0.6875,19.00,2.40,0.00,0.00,0.50,-0.550,7.26,7.84,0
19883,0.00,0.00,14.70,0.47,932,0.00,2.00,0.6875,19.50,2.39,0.00,0.00,0.50,-0.550,7.26,7.84,0
19946,0.00,0.00,14.70,0.47,941,0.00,2.00,0.6875,19.00,2.41,0.00,0.00,0.50,-0.550,7.26,7.45,0
20024,0.00,0.00,14.70,0.47,934,0.00,2.00,0.6875,19.00,2.39,0.00,0.00,0.00,-0.550,7.21,7.45,0
20086,0.00,0.00,14.70,0.47,932,0.00,2.00,0.6875,20.00,2.39,0.00,0.00,0.00,-0.550,7.30,7.45,0
20149,0.00,0.00,14.70,0.47,931,0.00,2.00,0.6875,19.50,2.38,0.00,0.00,0.50,-0.550,7.26,7.45,0
20211,0.00,0.00,14.70,0.47,930,0.00,2.00,0.6875,18.50,2.38,0.00,0.00,0.00,-0.550,7.21,7.45,0
20290,0.00,0.00,14.70,0.46,926,0.00,2.00,0.6875,18.50,2.37,0.00,0.00,0.00,-0.550,7.05,7.45,0
20352,0.00,0.00,14.70,0.46,932,0.00,2.00,0.6875,17.50,2.39,0.00,0.00,0.00,-0.550,7.05,7.45,0
20415,0.00,0.00,14.70,0.46,924,0.00,2.00,0.6875,18.00,2.36,0.00,0.00,0.00,-0.550,7.09,7.45,0
20493,0.00,0.00,14.70,0.46,923,0.00,2.00,0.6875,17.50,2.36,0.00,0.00,0.00,-0.550,7.13,7.45,0
20555,0.00,0.00,14.70,0.46,917,0.00,2.00,0.6875,17.50,2.35,0.00,0.00,0.00,-0.550,7.05,7.45,0
20618,0.00,0.00,14.70,0.46,915,0.00,2.00,0.6875,18.50,2.34,0.00,0.00,0.00,-0.560,6.96,7.45,0
20680,0.00,0.00,14.70,0.45,912,0.00,2.00,0.6875,19.00,2.34,0.00,0.00,0.00,-0.560,6.96,7.45,0
20758,0.00,0.00,14.70,0.46,911,0.00,2.00,0.6875,18.50,2.33,0.00,0.00,0.00,-0.560,7.05,7.45,0
20821,0.00,0.00,14.70,0.45,910,0.00,2.00,0.6875,19.00,2.33,0.00,0.00,0.00,-0.560,7.00,7.45,0
20883,0.00,0.00,14.70,0.45,916,0.00,2.00,0.6875,18.00,2.35,0.00,0.00,0.00,-0.560,7.00,7.45,0
20961,0.00,0.00,14.70,0.45,919,0.00,2.00,0.6875,17.50,2.35,0.00,0.00,0.00,-0.560,7.00,7.06,0
21024,0.00,0.00,14.70,0.45,916,0.00,2.00,0.6875,16.50,2.34,0.00,0.00,0.00,-0.560,6.92,7.06,0
21086,0.00,0.00,14.70,0.44,916,0.00,2.00,0.6875,18.00,2.35,0.00,0.00,0.00,-0.560,6.75,7.06,0
21149,0.00,0.00,14.70,0.44,920,0.00,2.00,0.6875,17.50,2.36,0.00,0.00,0.00,-0.560,6.83,7.06,0
21227,0.00,0.00,14.70,0.44,919,0.00,2.00,0.6875,17.50,2.35,0.00,0.00,0.00,-0.560,6.79,7.06,0
21290,0.00,0.00,14.70,0.44,916,0.00,2.00,0.6875,17.00,2.35,0.00,0.00,0.00,-0.560,6.75,7.06,0
21362,0.00,0.00,14.70,0.44,911,0.00,2.00,0.6875,19.50,2.33,0.00,0.00,0.00,-0.570,6.83,7.06,0
21424,0.00,0.00,14.70,0.44,913,0.00,2.00,0.6875,19.00,2.34,0.00,0.00,0.00,-0.570,6.79,7.06,0
21487,0.00,0.00,14.70,0.44,913,0.00,2.00,0.6875,19.00,2.34,0.00,0.00,0.00,-0.570,6.75,7.06,0
21549,0.00,0.00,14.70,0.44,916,0.00,2.00,0.6875,19.00,2.34,0.00,0.00,0.00,-0.570,6.75,7.06,0
21627,0.00,0.00,14.70,0.44,907,0.00,2.00,0.6875,19.50,2.32,0.00,0.00,0.00,-0.570,6.79,7.06,0
21690,0.00,0.00,14.70,0.44,915,0.00,2.00,0.6875,19.50,2.34,0.00,0.00,0.00,-0.570,6.71,7.06,0
21752,0.00,0.00,14.70,0.44,914,0.00,2.00,0.6875,20.00,2.34,0.00,0.00,0.00,-0.570,6.75,7.06,0
21830,0.00,0.00,14.70,0.44,912,0.00,2.00,0.6875,19.50,2.34,0.00,0.00,0.00,-0.570,6.71,7.06,0
21893,0.00,0.00,14.70,0.44,914,0.00,2.00,0.6875,19.50,2.34,0.00,0.00,0.00,-0.570,6.75,7.06,0
21956,0.00,0.00,14.70,0.44,912,0.00,2.00,0.6875,19.50,2.33,0.00,0.00,0.00,-0.570,6.71,7.06,0
22034,0.00,0.00,14.70,0.44,914,0.00,2.00,0.6875,19.00,2.34,0.00,0.00,0.00,-0.570,6.71,7.06,0
22096,0.00,0.00,14.70,0.44,907,0.00,2.00,0.6875,19.00,2.32,0.00,0.00,0.00,-0.570,6.67,7.06,0
22159,0.00,0.00,14.70,0.43,910,0.00,2.00,0.6875,20.00,2.33,0.00,0.00,0.00,-0.570,6.58,7.06,0
22221,0.00,0.00,14.70,0.45,903,0.00,2.00,0.6875,19.50,2.31,0.00,0.00,0.00,-0.570,6.71,7.06,0
22299,0.00,0.00,14.70,0.44,904,0.00,2.00,0.6875,20.50,2.31,0.00,0.00,0.00,-0.570,6.58,7.06,0
22362,0.00,0.00,14.70,0.44,897,0.00,2.00,0.6875,19.50,2.30,0.00,0.00,0.00,-0.570,6.62,7.06,0
22424,0.00,0.00,14.70,0.45,897,0.00,2.00,0.6875,19.50,2.30,0.00,0.00,0.00,-0.570,6.67,7.06,0
22502,0.00,0.00,14.70,0.44,895,0.00,2.00,0.6875,20.50,2.29,0.00,0.00,0.00,-0.570,6.58,7.06,0
22565,0.00,0.00,14.70,0.44,900,0.00,2.00,0.6875,19.50,2.30,0.00,0.00,0.00,-0.570,6.67,7.06,0
22627,0.00,0.00,14.70,0.45,900,0.00,2.00,0.6875,19.50,2.30,0.00,0.00,0.00,-0.570,6.75,7.06,0
22690,0.00,0.00,14.70,0.44,905,0.00,2.00,0.6875,19.00,2.32,0.00,0.00,0.00,-0.570,6.67,7.06,0
22768,0.00,0.00,14.70,0.44,902,0.00,2.00,0.6875,18.50,2.31,0.00,0.00,0.00,-0.570,6.67,7.06,0
22830,0.00,0.00,14.70,0.45,902,0.00,2.00,0.6875,19.50,2.31,0.00,0.00,0.00,-0.570,6.75,7.06,0
22893,0.00,0.00,14.70,0.44,901,0.00,2.00,0.6875,19.00,2.31,0.00,0.00,0.00,-0.570,6.67,7.06,0
22971,0.00,0.00,14.70,0.44,901,0.00,2.00,0.6875,19.00,2.31,0.00,0.00,0.00,-0.570,6.54,7.06,0
23028,0.00,0.00,14.70,0.44,899,0.00,2.00,0.6875,19.50,2.30,0.00,0.00,0.00,-0.570,6.58,7.06,0
23106,0.00,0.00,14.70,0.43,901,0.00,2.00,0.6875,19.00,2.31,0.00,0.00,0.00,-0.570,6.41,7.06,0
23169,0.00,0.00,14.70,0.42,902,0.00,2.00,0.6875,18.50,2.31,0.00,0.00,0.00,-0.570,6.33,7.06,0
23231,0.00,0.00,14.70,0.42,904,0.00,2.00,0.6875,18.00,2.31,0.00,0.00,0.00,-0.570,6.33,7.06,0
23294,0.00,0.00,14.70,0.43,896,0.00,2.00,0.6875,18.50,2.29,0.00,0.00,0.00,-0.570,6.37,7.06,0
23372,0.00,0.00,14.70,0.42,903,0.00,2.00,0.6875,19.00,2.31,0.00,0.00,0.00,-0.570,6.33,7.06,0
23434,0.00,0.00,14.70,0.43,902,0.00,2.00,0.6875,18.50,2.31,0.00,0.00,0.00,-0.570,6.45,7.06,0
23497,0.00,0.00,14.70,0.43,901,0.00,2.00,0.6875,19.00,2.31,0.00,0.00,0.00,-0.570,6.50,7.06,0
23559,0.00,0.00,14.70,0.44,895,0.00,2.00,0.6875,19.00,2.29,0.00,0.00,0.00,-0.570,6.50,7.06,0
23637,0.00,0.00,14.70,0.44,891,0.00,2.00,0.6875,20.00,2.28,0.00,0.00,0.00,-0.570,6.50,7.06,0
23700,0.00,0.00,14.70,0.44,887,0.00,2.00,0.6875,19.50,2.27,0.00,0.00,0.00,-0.570,6.50,7.06,0
23762,0.00,0.00,14.70,0.43,891,0.00,2.00,0.6875,17.50,2.28,0.00,0.00,0.00,-0.570,6.45,7.06,0
23841,0.00,0.00,14.70,0.45,878,0.00,2.00,0.6875,17.50,2.25,0.00,0.00,0.00,-0.570,6.54,7.06,0
23903,0.00,0.00,14.70,0.45,885,0.00,2.00,0.6875,18.00,2.26,0.00,0.00,0.00,-0.570,6.62,7.06,0
23966,0.00,0.00,14.70,0.44,884,0.00,2.00,0.6875,17.50,2.26,0.00,0.00,0.00,-0.570,6.50,7.06,0
24028,0.00,0.00,14.70,0.44,892,0.00,2.00,0.6875,17.50,2.28,0.00,0.00,0.00,-0.570,6.50,7.06,0
24106,0.00,0.00,14.70,0.45,877,0.00,2.00,0.6875,17.50,2.25,0.00,0.00,0.00,-0.570,6.58,7.06,0
24169,0.00,0.00,14.70,0.44,874,0.00,2.00,0.6875,18.00,2.24,0.00,0.00,0.00,-0.570,6.50,7.06,0
24231,0.00,0.00,14.70,0.45,876,0.00,2.00,0.6875,17.50,2.24,0.00,0.00,0.00,-0.570,6.50,7.06,0
24309,0.00,0.00,14.70,0.44,863,0.00,2.00,0.6875,19.00,2.21,0.00,0.00,0.00,-0.570,6.50,7.06,0
24372,0.00,0.00,14.70,0.44,870,0.00,2.00,0.6875,18.50,2.23,0.00,0.00,0.00,-0.560,6.37,7.06,0
24434,0.00,0.00,14.70,0.43,872,0.00,2.00,0.6875,18.00,2.23,0.00,0.00,0.00,-0.570,6.33,7.06,0
24512,0.00,0.00,14.70,0.43,884,0.00,2.00,0.6875,16.00,2.26,0.00,0.00,0.00,-0.570,6.33,7.06,0
24575,0.00,0.00,14.70,0.43,883,0.00,2.00,0.6875,15.50,2.26,0.00,0.00,0.00,-0.570,6.33,7.06,0
24638,0.00,0.00,14.70,0.44,879,0.00,2.00,0.6875,15.00,2.25,0.00,0.00,0.00,-0.570,6.41,7.06,0
24700,0.00,0.00,14.70,0.43,877,0.00,2.00,0.6875,16.50,2.25,0.00,0.00,0.00,-0.570,6.37,7.06,0
24778,0.00,0.00,14.70,0.43,878,0.00,2.00,0.6875,16.00,2.25,0.00,0.00,0.00,-0.570,6.41,7.06,0
24841,0.00,0.00,14.70,0.44,874,0.00,2.00,0.6875,16.00,2.24,0.00,0.00,0.00,-0.570,6.41,7.06,0
24903,0.00,0.00,14.70,0.44,875,0.00,2.00,0.6875,16.00,2.24,0.00,0.00,0.00,-0.570,6.41,7.06,0
24966,0.00,0.00,14.70,0.43,875,0.00,2.00,0.6875,16.50,2.24,0.00,0.00,0.00,-0.570,6.41,7.06,0
25044,0.00,0.00,14.70,0.44,878,0.00,2.00,0.6875,15.50,2.25,0.00,0.00,0.00,-0.570,6.41,7.06,0
25106,0.00,0.00,14.70,0.42,874,0.00,2.00,0.6875,16.50,2.24,0.00,0.00,0.00,-0.570,6.20,7.06,0
25169,0.00,0.00,14.70,0.44,873,0.00,2.00,0.6875,16.00,2.23,0.00,0.00,0.00,-0.570,6.37,7.06,0
25247,0.00,0.00,14.70,0.44,870,0.00,2.00,0.6875,17.00,2.23,0.00,0.00,0.00,-0.570,6.41,7.06,0
25309,0.00,0.00,14.70,0.45,862,0.00,2.00,0.6875,17.00,2.21,0.00,0.00,0.00,-0.570,6.41,7.06,0
25372,0.00,0.00,14.70,0.44,858,0.00,2.00,0.6875,19.00,2.20,0.00,0.00,0.00,-0.570,6.33,7.06,0
25450,0.00,0.00,14.70,0.44,861,0.00,2.00,0.6875,18.00,2.20,0.00,0.00,0.00,-0.570,6.33,7.06,0
25512,0.00,0.00,14.70,0.45,860,0.00,2.00,0.6875,17.00,2.20,0.00,0.00,0.00,-0.560,6.41,7.06,0
25575,0.00,0.00,14.70,0.44,860,0.00,2.00,0.6875,18.50,2.20,0.00,0.00,0.00,-0.560,6.37,7.06,0
25653,0.00,0.00,14.70,0.44,871,0.00,2.00,0.6875,17.50,2.23,0.00,0.00,0.00,-0.560,6.41,7.06,0
25716,0.00,0.00,14.70,0.44,882,0.00,2.00,0.6875,16.00,2.26,0.00,0.00,0.00,-0.560,6.33,7.06,0
25778,0.00,0.00,14.70,0.44,874,0.00,2.00,0.6875,17.00,2.24,0.00,0.00,0.00,-0.570,6.33,7.06,0
25841,0.00,0.00,14.70,0.44,883,0.00,2.00,0.6875,16.00,2.26,0.00,0.00,0.00,-0.570,6.41,7.06,0
25903,0.00,0.00,14.70,0.44,882,0.00,2.00,0.6875,16.00,2.26,0.00,0.00,0.00,-0.570,6.41,7.06,0
25981,0.00,0.00,14.70,0.44,890,0.00,2.00,0.6875,15.00,2.28,0.00,0.00,0.00,-0.570,6.41,7.06,0
26044,0.00,0.00,14.70,0.44,885,0.00,2.00,0.6875,16.00,2.26,0.00,0.00,0.00,-0.570,6.28,7.06,0
26106,0.00,0.00,14.70,0.44,881,0.00,2.00,0.6875,17.50,2.26,0.00,0.00,0.00,-0.570,6.33,7.06,0
26184,0.00,0.00,14.70,0.44,880,0.00,2.00,0.6875,17.00,2.25,0.00,0.00,0.00,-0.570,6.33,7.06,0
